Time	UE Id	DistanceX	DistanceY
32.7	0	404	-150
32.7	1	504	-150
32.7	2	604	-150
32.8	0	406	-150
32.8	1	506	-150
32.8	2	606	-150
32.9	0	408	-150
32.9	1	508	-150
32.9	2	608	-150
33	0	410	-150
33	1	510	-150
33	2	610	-150
33.1	0	412	-150
33.1	1	512	-150
33.1	2	612	-150
33.2	0	414	-150
33.2	1	514	-150
33.2	2	614	-150
33.3	0	416	-150
33.3	1	516	-150
33.3	2	616	-150
33.4	0	418	-150
33.4	1	518	-150
33.4	2	618	-150
33.5	0	420	-150
33.5	1	520	-150
33.5	2	620	-150
33.6	0	422	-150
33.6	1	522	-150
33.6	2	622	-150
33.7	0	424	-150
33.7	1	524	-150
33.7	2	624	-150
33.8	0	426	-150
33.8	1	526	-150
33.8	2	626	-150
33.9	0	428	-150
33.9	1	528	-150
33.9	2	628	-150
34	0	430	-150
34	1	530	-150
34	2	630	-150
34.1	0	432	-150
34.1	1	532	-150
34.1	2	632	-150
34.2	0	434	-150
34.2	1	534	-150
34.2	2	634	-150
34.3	0	436	-150
34.3	1	536	-150
34.3	2	636	-150
34.4	0	438	-150
34.4	1	538	-150
34.4	2	638	-150
34.5	0	440	-150
34.5	1	540	-150
34.5	2	640	-150
34.6	0	442	-150
34.6	1	542	-150
34.6	2	642	-150
34.7	0	444	-150
34.7	1	544	-150
34.7	2	644	-150
34.8	0	446	-150
34.8	1	546	-150
34.8	2	646	-150
34.9	0	448	-150
34.9	1	548	-150
34.9	2	648	-150
35	0	450	-150
35	1	550	-150
35	2	650	-150
35.1	0	452	-150
35.1	1	552	-150
35.1	2	652	-150
35.2	0	454	-150
35.2	1	554	-150
35.2	2	654	-150
35.3	0	456	-150
35.3	1	556	-150
35.3	2	656	-150
35.4	0	458	-150
35.4	1	558	-150
35.4	2	658	-150
35.5	0	460	-150
35.5	1	560	-150
35.5	2	660	-150
35.6	0	462	-150
35.6	1	562	-150
35.6	2	662	-150
35.7	0	464	-150
35.7	1	564	-150
35.7	2	664	-150
35.8	0	466	-150
35.8	1	566	-150
35.8	2	666	-150
35.9	0	468	-150
35.9	1	568	-150
35.9	2	668	-150
36	0	470	-150
36	1	570	-150
36	2	670	-150
36.1	0	472	-150
36.1	1	572	-150
36.1	2	672	-150
36.2	0	474	-150
36.2	1	574	-150
36.2	2	674	-150
36.3	0	476	-150
36.3	1	576	-150
36.3	2	676	-150
36.4	0	478	-150
36.4	1	578	-150
36.4	2	678	-150
36.5	0	480	-150
36.5	1	580	-150
36.5	2	680	-150
36.6	0	482	-150
36.6	1	582	-150
36.6	2	682	-150
36.7	0	484	-150
36.7	1	584	-150
36.7	2	684	-150
36.8	0	486	-150
36.8	1	586	-150
36.8	2	686	-150
36.9	0	488	-150
36.9	1	588	-150
